scene_min_x,scene_min_z,scene_max_x,scene_max_z,render,collision,water
-72,-224,-68,-220,1,1,0
-68,-224,-64,-220,1,1,0
-64,-224,-60,-220,1,1,0
-60,-224,-56,-220,1,1,0
-56,-224,-52,-220,1,1,0
188,-224,192,-220,1,1,0
192,-224,196,-220,1,1,0
196,-224,200,-220,1,1,0
200,-224,204,-220,1,1,0
204,-224,208,-220,1,1,0
208,-224,212,-220,1,1,0
212,-224,216,-220,1,1,0
-72,-220,-68,-216,1,1,0
-68,-220,-64,-216,1,1,0
-64,-220,-60,-216,1,1,0
-60,-220,-56,-216,1,1,0
-56,-220,-52,-216,1,1,0
188,-220,192,-216,1,1,0
192,-220,196,-216,1,1,0
196,-220,200,-216,1,1,0
200,-220,204,-216,1,1,0
204,-220,208,-216,1,1,0
208,-220,212,-216,1,1,0
212,-220,216,-216,1,1,0
-72,-216,-68,-212,1,1,0
-68,-216,-64,-212,1,1,0
-64,-216,-60,-212,1,1,0
-60,-216,-56,-212,1,1,0
-56,-216,-52,-212,1,1,0
188,-216,192,-212,1,1,0
192,-216,196,-212,1,1,0
196,-216,200,-212,1,1,0
200,-216,204,-212,1,1,0
204,-216,208,-212,1,1,0
208,-216,212,-212,1,1,0
212,-216,216,-212,1,1,0
-72,-212,-68,-208,1,1,0
-68,-212,-64,-208,1,1,0
-64,-212,-60,-208,1,1,0
-60,-212,-56,-208,1,1,0
-56,-212,-52,-208,1,1,0
196,-212,200,-208,1,1,0
200,-212,204,-208,1,1,0
204,-212,208,-208,1,1,0
-72,-208,-68,-204,1,1,0
-68,-208,-64,-204,1,1,0
-64,-208,-60,-204,1,1,0
-60,-208,-56,-204,1,1,0
-56,-208,-52,-204,1,1,0
196,-208,200,-204,1,1,0
200,-208,204,-204,1,1,0
204,-208,208,-204,1,1,0
-72,-204,-68,-200,1,1,0
-68,-204,-64,-200,1,1,0
-64,-204,-60,-200,1,1,0
-60,-204,-56,-200,1,1,0
-56,-204,-52,-200,1,1,0
196,-204,200,-200,1,1,0
200,-204,204,-200,1,1,0
204,-204,208,-200,1,1,0
-72,-200,-68,-196,1,1,0
-68,-200,-64,-196,1,1,0
-64,-200,-60,-196,1,1,0
-60,-200,-56,-196,1,1,0
-56,-200,-52,-196,1,1,0
196,-200,200,-196,1,1,0
200,-200,204,-196,1,1,0
204,-200,208,-196,1,1,0
-72,-196,-68,-192,1,1,0
-68,-196,-64,-192,1,1,0
-64,-196,-60,-192,1,1,0
-60,-196,-56,-192,1,1,0
-56,-196,-52,-192,1,1,0
196,-196,200,-192,1,1,0
200,-196,204,-192,1,1,0
204,-196,208,-192,1,1,0
-72,-192,-68,-188,1,1,0
-68,-192,-64,-188,1,1,0
-64,-192,-60,-188,1,1,0
-60,-192,-56,-188,1,1,0
-56,-192,-52,-188,1,1,0
196,-192,200,-188,1,1,0
200,-192,204,-188,1,1,0
204,-192,208,-188,1,1,0
-72,-188,-68,-184,1,1,0
-68,-188,-64,-184,1,1,0
-64,-188,-60,-184,1,1,0
-60,-188,-56,-184,1,1,0
-56,-188,-52,-184,1,1,0
196,-188,200,-184,1,1,0
200,-188,204,-184,1,1,0
204,-188,208,-184,1,1,0
-72,-184,-68,-180,1,1,0
-68,-184,-64,-180,1,1,0
-64,-184,-60,-180,1,1,0
-60,-184,-56,-180,1,1,0
-56,-184,-52,-180,1,1,0
196,-184,200,-180,1,1,0
200,-184,204,-180,1,1,0
204,-184,208,-180,1,1,0
-72,-180,-68,-176,1,1,0
-68,-180,-64,-176,1,1,0
-64,-180,-60,-176,1,1,0
-60,-180,-56,-176,1,1,0
-56,-180,-52,-176,1,1,0
196,-180,200,-176,1,1,0
200,-180,204,-176,1,1,0
204,-180,208,-176,1,1,0
-72,-176,-68,-172,1,1,0
-68,-176,-64,-172,1,1,0
-64,-176,-60,-172,1,1,0
-60,-176,-56,-172,1,1,0
-56,-176,-52,-172,1,1,0
196,-176,200,-172,1,1,0
200,-176,204,-172,1,1,0
204,-176,208,-172,1,1,0
-72,-172,-68,-168,1,1,0
-68,-172,-64,-168,1,1,0
-64,-172,-60,-168,1,1,0
-60,-172,-56,-168,1,1,0
-56,-172,-52,-168,1,1,0
192,-172,196,-168,1,1,0
196,-172,200,-168,1,1,0
200,-172,204,-168,1,1,0
204,-172,208,-168,1,1,0
208,-172,212,-168,1,1,0
-72,-168,-68,-164,1,1,0
-68,-168,-64,-164,1,1,0
-64,-168,-60,-164,1,1,0
-60,-168,-56,-164,1,1,0
-56,-168,-52,-164,1,1,0
192,-168,196,-164,1,1,0
196,-168,200,-164,1,1,0
200,-168,204,-164,1,1,0
204,-168,208,-164,1,1,0
208,-168,212,-164,1,1,0
-72,-164,-68,-160,1,1,0
-68,-164,-64,-160,1,1,0
-64,-164,-60,-160,1,1,0
-60,-164,-56,-160,1,1,0
-56,-164,-52,-160,1,1,0
192,-164,196,-160,1,1,0
196,-164,200,-160,1,1,0
200,-164,204,-160,1,1,0
204,-164,208,-160,1,1,0
208,-164,212,-160,1,1,0
-72,-160,-68,-156,1,1,0
-68,-160,-64,-156,1,1,0
-64,-160,-60,-156,1,1,0
-60,-160,-56,-156,1,1,0
-56,-160,-52,-156,1,1,0
192,-160,196,-156,1,1,0
196,-160,200,-156,1,1,0
200,-160,204,-156,1,1,0
204,-160,208,-156,1,1,0
208,-160,212,-156,1,1,0
316,-160,320,-156,1,1,0
320,-160,324,-156,1,1,0
192,-156,196,-152,1,1,0
196,-156,200,-152,1,1,0
200,-156,204,-152,1,1,0
204,-156,208,-152,1,1,0
208,-156,212,-152,1,1,0
212,-156,216,-152,1,1,0
316,-156,320,-152,1,1,0
320,-156,324,-152,1,1,0
324,-156,328,-152,1,1,0
184,-152,188,-148,1,1,0
188,-152,192,-148,1,1,0
192,-152,196,-148,1,1,0
196,-152,200,-148,1,1,0
200,-152,204,-148,1,1,0
204,-152,208,-148,1,1,0
208,-152,212,-148,1,1,0
212,-152,216,-148,1,1,0
316,-152,320,-148,1,1,0
320,-152,324,-148,1,1,0
324,-152,328,-148,1,1,0
328,-152,332,-148,1,1,0
104,-148,108,-144,1,1,0
108,-148,112,-144,1,1,0
112,-148,116,-144,1,1,0
116,-148,120,-144,1,1,0
120,-148,124,-144,1,1,0
124,-148,128,-144,1,1,0
128,-148,132,-144,1,1,0
132,-148,136,-144,1,1,0
176,-148,180,-144,1,1,0
180,-148,184,-144,1,1,0
184,-148,188,-144,1,1,0
188,-148,192,-144,1,1,0
192,-148,196,-144,1,1,0
196,-148,200,-144,1,1,0
200,-148,204,-144,1,1,0
204,-148,208,-144,1,1,0
208,-148,212,-144,1,1,0
212,-148,216,-144,1,1,0
320,-148,324,-144,1,1,0
324,-148,328,-144,1,1,0
328,-148,332,-144,1,1,0
332,-148,336,-144,1,1,0
48,-144,52,-140,1,1,0
52,-144,56,-140,1,1,0
56,-144,60,-140,1,1,0
60,-144,64,-140,1,1,0
64,-144,68,-140,1,1,0
68,-144,72,-140,1,1,0
72,-144,76,-140,1,1,0
76,-144,80,-140,1,1,0
80,-144,84,-140,1,1,0
84,-144,88,-140,1,1,0
88,-144,92,-140,1,1,0
92,-144,96,-140,1,1,0
96,-144,100,-140,1,1,0
100,-144,104,-140,1,1,0
104,-144,108,-140,1,1,0
108,-144,112,-140,1,1,0
112,-144,116,-140,1,1,0
116,-144,120,-140,1,1,0
120,-144,124,-140,1,1,0
124,-144,128,-140,1,1,0
128,-144,132,-140,1,1,0
132,-144,136,-140,1,1,0
136,-144,140,-140,1,1,0
140,-144,144,-140,1,1,0
172,-144,176,-140,1,1,0
176,-144,180,-140,1,1,0
180,-144,184,-140,1,1,0
184,-144,188,-140,1,1,0
188,-144,192,-140,1,1,0
192,-144,196,-140,1,1,0
196,-144,200,-140,1,1,0
200,-144,204,-140,1,1,0
204,-144,208,-140,1,1,0
208,-144,212,-140,1,1,0
212,-144,216,-140,1,1,0
300,-144,304,-140,1,1,0
304,-144,308,-140,1,1,0
324,-144,328,-140,1,1,0
328,-144,332,-140,1,1,0
44,-140,48,-136,1,1,0
48,-140,52,-136,1,1,0
52,-140,56,-136,1,1,0
56,-140,60,-136,1,1,0
60,-140,64,-136,1,1,0
64,-140,68,-136,1,1,0
68,-140,72,-136,1,1,0
72,-140,76,-136,1,1,0
76,-140,80,-136,1,1,0
80,-140,84,-136,1,1,0
84,-140,88,-136,1,1,0
88,-140,92,-136,1,1,0
92,-140,96,-136,1,1,0
96,-140,100,-136,1,1,0
100,-140,104,-136,1,1,0
104,-140,108,-136,1,1,0
108,-140,112,-136,1,1,0
112,-140,116,-136,1,1,0
116,-140,120,-136,1,1,0
120,-140,124,-136,1,1,0
124,-140,128,-136,1,1,0
128,-140,132,-136,1,1,0
132,-140,136,-136,1,1,0
136,-140,140,-136,1,1,0
140,-140,144,-136,1,1,0
144,-140,148,-136,1,1,0
148,-140,152,-136,1,1,0
172,-140,176,-136,1,1,0
176,-140,180,-136,1,1,0
180,-140,184,-136,1,1,0
184,-140,188,-136,1,1,0
188,-140,192,-136,1,1,0
192,-140,196,-136,1,1,0
196,-140,200,-136,1,1,0
200,-140,204,-136,1,1,0
204,-140,208,-136,1,1,0
208,-140,212,-136,1,1,0
212,-140,216,-136,1,1,0
296,-140,300,-136,1,1,0
300,-140,304,-136,1,1,0
304,-140,308,-136,1,1,0
308,-140,312,-136,1,1,0
36,-136,40,-132,1,1,0
40,-136,44,-132,1,1,0
44,-136,48,-132,1,1,0
48,-136,52,-132,1,1,0
52,-136,56,-132,1,1,0
56,-136,60,-132,1,1,0
60,-136,64,-132,1,1,0
64,-136,68,-132,1,1,0
68,-136,72,-132,1,1,0
72,-136,76,-132,1,1,0
76,-136,80,-132,1,1,0
80,-136,84,-132,1,1,0
84,-136,88,-132,1,1,0
88,-136,92,-132,1,1,0
92,-136,96,-132,1,1,0
96,-136,100,-132,1,1,0
100,-136,104,-132,1,1,0
104,-136,108,-132,1,1,0
108,-136,112,-132,1,1,0
112,-136,116,-132,1,1,0
116,-136,120,-132,1,1,0
120,-136,124,-132,1,1,0
124,-136,128,-132,1,1,0
128,-136,132,-132,1,1,0
132,-136,136,-132,1,1,0
136,-136,140,-132,1,1,0
140,-136,144,-132,1,1,0
144,-136,148,-132,1,1,0
148,-136,152,-132,1,1,0
152,-136,156,-132,1,1,0
156,-136,160,-132,1,1,0
168,-136,172,-132,1,1,0
172,-136,176,-132,1,1,0
176,-136,180,-132,1,1,0
180,-136,184,-132,1,1,0
184,-136,188,-132,1,1,0
188,-136,192,-132,1,1,0
192,-136,196,-132,1,1,0
196,-136,200,-132,1,1,0
200,-136,204,-132,1,1,0
300,-136,304,-132,1,1,0
304,-136,308,-132,1,1,0
308,-136,312,-132,1,1,0
312,-136,316,-132,1,1,0
36,-132,40,-128,1,1,0
40,-132,44,-128,1,1,0
44,-132,48,-128,1,1,0
48,-132,52,-128,1,1,0
52,-132,56,-128,1,1,0
56,-132,60,-128,1,1,0
60,-132,64,-128,1,1,0
64,-132,68,-128,1,1,0
68,-132,72,-128,1,1,0
72,-132,76,-128,1,1,0
84,-132,88,-128,1,1,0
88,-132,92,-128,1,1,0
92,-132,96,-128,1,1,0
96,-132,100,-128,1,1,0
100,-132,104,-128,1,1,0
104,-132,108,-128,1,1,0
108,-132,112,-128,1,1,0
112,-132,116,-128,1,1,0
116,-132,120,-128,1,1,0
120,-132,124,-128,1,1,0
124,-132,128,-128,1,1,0
128,-132,132,-128,1,1,0
132,-132,136,-128,1,1,0
136,-132,140,-128,1,1,0
140,-132,144,-128,1,1,0
144,-132,148,-128,1,1,0
148,-132,152,-128,1,1,0
152,-132,156,-128,1,1,0
156,-132,160,-128,1,1,0
160,-132,164,-128,1,1,0
164,-132,168,-128,1,1,0
168,-132,172,-128,1,1,0
172,-132,176,-128,1,1,0
176,-132,180,-128,1,1,0
180,-132,184,-128,1,1,0
184,-132,188,-128,1,1,0
188,-132,192,-128,1,1,0
196,-132,200,-128,1,1,0
200,-132,204,-128,1,1,0
304,-132,308,-128,1,1,0
308,-132,312,-128,1,1,0
312,-132,316,-128,1,1,0
36,-128,40,-124,1,1,0
40,-128,44,-124,1,1,0
44,-128,48,-124,1,1,0
48,-128,52,-124,1,1,0
52,-128,56,-124,1,1,0
56,-128,60,-124,1,1,0
60,-128,64,-124,1,1,0
64,-128,68,-124,1,1,0
68,-128,72,-124,1,1,0
72,-128,76,-124,1,1,0
76,-128,80,-124,1,1,0
80,-128,84,-124,1,1,0
84,-128,88,-124,1,1,0
88,-128,92,-124,1,1,0
92,-128,96,-124,1,1,0
96,-128,100,-124,1,1,0
100,-128,104,-124,1,1,0
104,-128,108,-124,1,1,0
108,-128,112,-124,1,1,0
112,-128,116,-124,1,1,0
116,-128,120,-124,1,1,0
120,-128,124,-124,1,1,0
124,-128,128,-124,1,1,0
128,-128,132,-124,1,1,0
132,-128,136,-124,1,1,0
140,-128,144,-124,1,1,0
144,-128,148,-124,1,1,0
148,-128,152,-124,1,1,0
152,-128,156,-124,1,1,0
156,-128,160,-124,1,1,0
160,-128,164,-124,1,1,0
164,-128,168,-124,1,1,0
168,-128,172,-124,1,1,0
172,-128,176,-124,1,1,0
176,-128,180,-124,1,1,0
180,-128,184,-124,1,1,0
184,-128,188,-124,1,1,0
196,-128,200,-124,1,1,0
200,-128,204,-124,1,1,0
308,-128,312,-124,1,1,0
312,-128,316,-124,1,1,0
36,-124,40,-120,1,1,0
40,-124,44,-120,1,1,0
44,-124,48,-120,1,1,0
48,-124,52,-120,1,1,0
52,-124,56,-120,1,1,0
56,-124,60,-120,1,1,0
60,-124,64,-120,1,1,0
64,-124,68,-120,1,1,0
68,-124,72,-120,1,1,0
72,-124,76,-120,1,1,0
76,-124,80,-120,1,1,0
80,-124,84,-120,1,1,0
84,-124,88,-120,1,1,0
88,-124,92,-120,1,1,0
92,-124,96,-120,1,1,0
96,-124,100,-120,1,1,0
100,-124,104,-120,1,1,0
104,-124,108,-120,1,1,0
108,-124,112,-120,1,1,0
112,-124,116,-120,1,1,0
116,-124,120,-120,1,1,0
120,-124,124,-120,1,1,0
124,-124,128,-120,1,1,0
128,-124,132,-120,1,1,0
132,-124,136,-120,1,1,0
136,-124,140,-120,1,1,0
140,-124,144,-120,1,1,0
148,-124,152,-120,1,1,0
152,-124,156,-120,1,1,0
156,-124,160,-120,1,1,0
160,-124,164,-120,1,1,0
164,-124,168,-120,1,1,0
168,-124,172,-120,1,1,0
172,-124,176,-120,1,1,0
176,-124,180,-120,1,1,0
180,-124,184,-120,1,1,0
36,-120,40,-116,1,1,0
40,-120,44,-116,1,1,0
44,-120,48,-116,1,1,0
48,-120,52,-116,1,1,0
52,-120,56,-116,1,1,0
56,-120,60,-116,1,1,0
60,-120,64,-116,1,1,0
64,-120,68,-116,1,1,0
68,-120,72,-116,1,1,0
72,-120,76,-116,1,1,0
76,-120,80,-116,1,1,0
80,-120,84,-116,1,1,0
84,-120,88,-116,1,1,0
88,-120,92,-116,1,1,0
92,-120,96,-116,1,1,0
96,-120,100,-116,1,1,0
100,-120,104,-116,1,1,0
104,-120,108,-116,1,1,0
108,-120,112,-116,1,1,0
112,-120,116,-116,1,1,0
116,-120,120,-116,1,1,0
120,-120,124,-116,1,1,0
124,-120,128,-116,1,1,0
128,-120,132,-116,1,1,0
132,-120,136,-116,1,1,0
136,-120,140,-116,1,1,0
140,-120,144,-116,1,1,0
144,-120,148,-116,1,1,0
156,-120,160,-116,1,1,0
160,-120,164,-116,1,1,0
164,-120,168,-116,1,1,0
168,-120,172,-116,1,1,0
172,-120,176,-116,1,1,0
176,-120,180,-116,1,1,0
180,-120,184,-116,1,1,0
236,-120,240,-116,1,1,0
240,-120,244,-116,1,1,0
244,-120,248,-116,1,1,0
248,-120,252,-116,1,1,0
4,-116,8,-112,0,0,1
8,-116,12,-112,0,0,1
12,-116,16,-112,0,0,1
16,-116,20,-112,1,1,1
20,-116,24,-112,1,1,1
24,-116,28,-112,1,1,1
28,-116,32,-112,1,1,1
32,-116,36,-112,1,1,1
36,-116,40,-112,1,1,1
40,-116,44,-112,1,1,1
44,-116,48,-112,1,1,1
48,-116,52,-112,1,1,1
52,-116,56,-112,1,1,1
56,-116,60,-112,1,1,1
60,-116,64,-112,1,1,1
64,-116,68,-112,1,1,1
68,-116,72,-112,1,1,1
72,-116,76,-112,1,1,1
76,-116,80,-112,1,1,1
80,-116,84,-112,1,1,1
84,-116,88,-112,1,1,1
88,-116,92,-112,1,1,1
92,-116,96,-112,1,1,1
96,-116,100,-112,1,1,1
100,-116,104,-112,1,1,1
104,-116,108,-112,1,1,1
108,-116,112,-112,1,1,1
112,-116,116,-112,1,1,1
116,-116,120,-112,1,1,1
120,-116,124,-112,1,1,1
124,-116,128,-112,1,1,1
128,-116,132,-112,1,1,0
132,-116,136,-112,1,1,0
136,-116,140,-112,1,1,0
140,-116,144,-112,1,1,0
144,-116,148,-112,1,1,0
148,-116,152,-112,1,1,0
152,-116,156,-112,1,1,0
156,-116,160,-112,1,1,0
160,-116,164,-112,1,1,0
164,-116,168,-112,1,1,0
168,-116,172,-112,1,1,0
172,-116,176,-112,1,1,0
176,-116,180,-112,1,1,0
180,-116,184,-112,1,1,0
228,-116,232,-112,1,1,0
232,-116,236,-112,1,1,0
236,-116,240,-112,1,1,0
240,-116,244,-112,1,1,0
244,-116,248,-112,1,1,0
248,-116,252,-112,1,1,0
252,-116,256,-112,1,1,0
256,-116,260,-112,1,1,0
260,-116,264,-112,1,1,0
4,-112,8,-108,1,1,1
8,-112,12,-108,1,1,1
12,-112,16,-108,1,1,1
16,-112,20,-108,1,1,1
20,-112,24,-108,1,1,1
24,-112,28,-108,1,1,1
28,-112,32,-108,1,1,1
32,-112,36,-108,1,1,1
36,-112,40,-108,1,1,1
40,-112,44,-108,1,1,1
44,-112,48,-108,1,1,1
48,-112,52,-108,1,1,1
52,-112,56,-108,1,1,1
56,-112,60,-108,1,1,1
60,-112,64,-108,1,1,1
64,-112,68,-108,1,1,1
68,-112,72,-108,1,1,1
72,-112,76,-108,1,1,1
76,-112,80,-108,1,1,1
80,-112,84,-108,1,1,1
84,-112,88,-108,1,1,1
88,-112,92,-108,1,1,1
92,-112,96,-108,1,1,1
96,-112,100,-108,1,1,1
100,-112,104,-108,1,1,1
104,-112,108,-108,1,1,1
108,-112,112,-108,1,1,1
112,-112,116,-108,1,1,1
116,-112,120,-108,1,1,1
120,-112,124,-108,1,1,1
124,-112,128,-108,1,1,1
128,-112,132,-108,1,1,1
132,-112,136,-108,1,1,1
136,-112,140,-108,1,1,1
140,-112,144,-108,1,1,0
144,-112,148,-108,1,1,0
148,-112,152,-108,1,1,0
152,-112,156,-108,1,1,0
156,-112,160,-108,1,1,0
160,-112,164,-108,1,1,0
164,-112,168,-108,1,1,0
168,-112,172,-108,1,1,0
172,-112,176,-108,1,1,0
220,-112,224,-108,1,1,0
224,-112,228,-108,1,1,0
228,-112,232,-108,1,1,0
232,-112,236,-108,1,1,0
236,-112,240,-108,1,1,0
240,-112,244,-108,1,1,0
244,-112,248,-108,1,1,0
248,-112,252,-108,1,1,0
252,-112,256,-108,1,1,0
256,-112,260,-108,1,1,0
260,-112,264,-108,1,1,0
264,-112,268,-108,1,1,0
4,-108,8,-104,1,1,1
8,-108,12,-104,1,1,1
12,-108,16,-104,1,1,1
16,-108,20,-104,1,1,1
20,-108,24,-104,1,1,1
24,-108,28,-104,1,1,1
28,-108,32,-104,1,1,1
32,-108,36,-104,1,1,1
36,-108,40,-104,1,1,1
40,-108,44,-104,1,1,1
44,-108,48,-104,1,1,1
48,-108,52,-104,1,1,1
52,-108,56,-104,1,1,1
56,-108,60,-104,1,1,1
60,-108,64,-104,1,1,1
64,-108,68,-104,1,1,1
68,-108,72,-104,1,1,1
72,-108,76,-104,1,1,1
76,-108,80,-104,1,1,1
80,-108,84,-104,1,1,1
84,-108,88,-104,1,1,1
88,-108,92,-104,1,1,1
92,-108,96,-104,1,1,1
96,-108,100,-104,1,1,1
100,-108,104,-104,1,1,1
104,-108,108,-104,1,1,1
108,-108,112,-104,1,1,1
112,-108,116,-104,1,1,1
116,-108,120,-104,1,1,1
120,-108,124,-104,1,1,1
124,-108,128,-104,1,1,1
128,-108,132,-104,1,1,1
132,-108,136,-104,1,1,1
136,-108,140,-104,1,1,1
140,-108,144,-104,1,1,1
144,-108,148,-104,1,1,1
148,-108,152,-104,1,1,0
152,-108,156,-104,1,1,0
156,-108,160,-104,1,1,0
160,-108,164,-104,1,1,0
164,-108,168,-104,1,1,0
168,-108,172,-104,1,1,0
172,-108,176,-104,1,1,0
224,-108,228,-104,1,1,0
228,-108,232,-104,1,1,0
232,-108,236,-104,1,1,0
236,-108,240,-104,1,1,0
240,-108,244,-104,1,1,0
244,-108,248,-104,1,1,0
248,-108,252,-104,1,1,0
252,-108,256,-104,1,1,0
256,-108,260,-104,1,1,0
260,-108,264,-104,1,1,1
264,-108,268,-104,0,0,1
4,-104,8,-100,0,0,1
8,-104,12,-100,0,0,1
12,-104,16,-100,0,0,1
16,-104,20,-100,1,1,1
20,-104,24,-100,1,1,1
24,-104,28,-100,1,1,1
28,-104,32,-100,1,1,1
32,-104,36,-100,1,1,1
36,-104,40,-100,1,1,1
40,-104,44,-100,1,1,1
44,-104,48,-100,1,1,1
48,-104,52,-100,1,1,1
52,-104,56,-100,1,1,1
56,-104,60,-100,1,1,1
60,-104,64,-100,1,1,1
64,-104,68,-100,1,1,1
68,-104,72,-100,1,1,1
72,-104,76,-100,1,1,1
76,-104,80,-100,1,1,1
80,-104,84,-100,1,1,1
84,-104,88,-100,1,1,1
88,-104,92,-100,1,1,1
92,-104,96,-100,1,1,1
96,-104,100,-100,1,1,1
100,-104,104,-100,1,1,1
104,-104,108,-100,1,1,1
108,-104,112,-100,1,1,1
112,-104,116,-100,1,1,1
116,-104,120,-100,1,1,1
120,-104,124,-100,1,1,1
124,-104,128,-100,1,1,1
128,-104,132,-100,1,1,1
132,-104,136,-100,1,1,1
136,-104,140,-100,1,1,1
140,-104,144,-100,1,1,1
144,-104,148,-100,1,1,1
148,-104,152,-100,1,1,1
152,-104,156,-100,1,1,1
156,-104,160,-100,1,1,0
160,-104,164,-100,1,1,0
164,-104,168,-100,1,1,0
168,-104,172,-100,1,1,0
172,-104,176,-100,1,1,0
224,-104,228,-100,1,1,0
228,-104,232,-100,1,1,0
232,-104,236,-100,1,1,0
236,-104,240,-100,1,1,0
240,-104,244,-100,1,1,0
244,-104,248,-100,1,1,0
248,-104,252,-100,1,1,0
252,-104,256,-100,1,1,0
256,-104,260,-100,1,1,1
260,-104,264,-100,1,1,1
264,-104,268,-100,0,0,1
268,-104,272,-100,0,0,1
388,-104,392,-100,1,1,0
392,-104,396,-100,1,1,0
16,-100,20,-96,1,1,0
20,-100,24,-96,1,1,0
24,-100,28,-96,1,1,0
28,-100,32,-96,1,1,0
32,-100,36,-96,1,1,0
36,-100,40,-96,1,1,0
40,-100,44,-96,1,1,0
44,-100,48,-96,1,1,0
48,-100,52,-96,1,1,0
52,-100,56,-96,1,1,0
56,-100,60,-96,1,1,0
60,-100,64,-96,1,1,0
64,-100,68,-96,1,1,0
68,-100,72,-96,1,1,0
72,-100,76,-96,1,1,0
76,-100,80,-96,1,1,0
80,-100,84,-96,1,1,0
84,-100,88,-96,1,1,0
88,-100,92,-96,1,1,0
92,-100,96,-96,1,1,0
96,-100,100,-96,1,1,0
100,-100,104,-96,1,1,0
104,-100,108,-96,1,1,0
108,-100,112,-96,1,1,0
112,-100,116,-96,1,1,0
116,-100,120,-96,1,1,0
120,-100,124,-96,1,1,0
124,-100,128,-96,1,1,0
128,-100,132,-96,1,1,0
132,-100,136,-96,1,1,1
136,-100,140,-96,1,1,1
140,-100,144,-96,1,1,1
144,-100,148,-96,1,1,1
148,-100,152,-96,1,1,1
152,-100,156,-96,1,1,1
156,-100,160,-96,1,1,1
160,-100,164,-96,1,1,1
164,-100,168,-96,1,1,0
168,-100,172,-96,1,1,0
172,-100,176,-96,1,1,0
176,-100,180,-96,1,1,0
224,-100,228,-96,1,1,0
228,-100,232,-96,1,1,0
232,-100,236,-96,1,1,0
236,-100,240,-96,1,1,0
240,-100,244,-96,1,1,0
244,-100,248,-96,1,1,0
248,-100,252,-96,1,1,0
252,-100,256,-96,1,1,0
256,-100,260,-96,0,0,1
260,-100,264,-96,0,0,1
264,-100,268,-96,0,0,1
268,-100,272,-96,0,0,1
392,-100,396,-96,1,1,0
396,-100,400,-96,1,1,0
44,-96,48,-92,1,1,0
48,-96,52,-92,1,1,0
52,-96,56,-92,1,1,0
56,-96,60,-92,1,1,0
60,-96,64,-92,1,1,0
64,-96,68,-92,1,1,0
68,-96,72,-92,1,1,0
72,-96,76,-92,1,1,0
76,-96,80,-92,1,1,0
80,-96,84,-92,1,1,0
84,-96,88,-92,1,1,0
88,-96,92,-92,1,1,0
92,-96,96,-92,1,1,0
96,-96,100,-92,1,1,0
100,-96,104,-92,1,1,0
104,-96,108,-92,1,1,0
108,-96,112,-92,1,1,0
112,-96,116,-92,1,1,0
116,-96,120,-92,1,1,0
120,-96,124,-92,1,1,0
124,-96,128,-92,1,1,0
128,-96,132,-92,1,1,0
132,-96,136,-92,1,1,0
