"Race","Source","Dat","Schedule","ChunkIndex","Offset","Size","Tokens","MotionRefs","OtherRefs"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","kf&h","43","8560","144","sefl,sehp","","sefl,sehp"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls01","44","8704","224","lc01,hwso,sf2,sefl","sf2","lc01,hwso,sefl"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ls02","45","8928","224","lc02,hwso,sh2,sehp","sh2","lc02,hwso,sehp"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc01","46","9152","240","hwso,sf0,sefl,sf1","sf0,sf1","hwso,sefl"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","lc02","47","9392","240","hwso,sh0,sehp,sh1","sh0,sh1","hwso,sehp"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cabk","48","9632","192","hwmg,mb0,ner1","mb0","hwmg,ner1"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cawh","49","9824","192","hwmg,mw0,ner2","mw0","hwmg,ner2"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cast","50","10016","160","mb0","mb0",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","res2","51","10176","192","rx2","rx2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shit","52","10368","176","chit,hwmg,ssit,wash","","chit,hwmg,ssit,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shlg","53","10544","160","hwso,wash","","hwso,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","calg","54","10704","144","hwso","","hwso"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","stnd","55","10848","160","std","std",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","sssm","56","11008","192","ms1,ms2","ms1,ms2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shsm","57","11200","192","hwmg,eis2,stsm,sssm,wash","","hwmg,eis2,stsm,sssm,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shnj","58","11392","192","hwmg,ner3,stnj,ssnj,wash","","hwmg,ner3,stnj,ssnj,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ssnj","59","11584","192","mn1,mn2","mn1,mn2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","casm","60","11776","192","ms0,hwmg,ner4","ms0","hwmg,ner4"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","canj","61","11968","192","mn0,hwmg,sei5","mn0","hwmg,sei5"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cait","62","12160","224","hwmg,mi0,mi1","mi0,mi1","hwmg"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","sit0","63","12384","224","si0,si1","si0,si1",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","sit1","64","12608","160","si1","si1",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","sit2","65","12768","192","si2","si2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","gur1","66","12960","192","chit,sdam,vdam","","chit,sdam,vdam"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","cabl","67","13152","192","ma0,hwmg,neao","ma0","hwmg,neao"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","ssbl","68","13344","192","ma1,ma2","ma1,ma2",""
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shbl","69","13536","192","hwmg,stbl,shao,ssbl,wash","","hwmg,stbl,shao,ssbl,wash"
"Elvaan Female","Skeleton + Base Tex","ROM/42/4.dat","shfa","70","13728","192","hwmg,eifa,stfa,sssm,wash","","hwmg,eifa,stfa,sssm,wash"
"Elvaan Female","Animation set 0","ROM/46/57.dat","ati2","1","32","224","at2,skaz,dada","at2","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","atk0","2","256","160","hwat,vatk","","hwat,vatk"
"Elvaan Female","Animation set 0","ROM/46/57.dat","cnt0","3","416","160","hwat,vswy","","hwat,vswy"
"Elvaan Female","Animation set 0","ROM/46/57.dat","cnb0","4","576","208","amf,skaz,dcnt","amf","skaz,dcnt"
"Elvaan Female","Animation set 0","ROM/46/57.dat","cni0","5","784","224","at1,skaz,dcnt","at1","skaz,dcnt"
"Elvaan Female","Animation set 0","ROM/46/57.dat","cnr0","6","1008","208","amr,skaz,dcnt","amr","skaz,dcnt"
"Elvaan Female","Animation set 0","ROM/46/57.dat","cnl0","7","1216","208","aml,skaz,dcnt","aml","skaz,dcnt"
"Elvaan Female","Animation set 0","ROM/46/57.dat","atb0","8","1424","208","amf,skaz,dada","amf","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","ati0","9","1632","224","at0,skaz,dada","at0","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","atr0","10","1856","208","amr,skaz,dada","amr","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","atl0","11","2064","208","aml,skaz,dada","aml","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","out1","12","2272","208","otf,sotr","otf","sotr"
"Elvaan Female","Animation set 0","ROM/46/57.dat","in 1","13","2480","208","inf,sinr","inf","sinr"
"Elvaan Female","Animation set 0","ROM/46/57.dat","out0","14","2688","208","ota,sotr","ota","sotr"
"Elvaan Female","Animation set 0","ROM/46/57.dat","in 0","15","2896","208","ina,sinr","ina","sinr"
"Elvaan Female","Animation set 0","ROM/46/57.dat","atf0","16","3104","208","amf,skaz,dada","amf","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","ati1","17","3312","224","at1,skaz,dada","at1","skaz,dada"
"Elvaan Female","Animation set 0","ROM/46/57.dat","cnf0","18","3536","208","amf,skaz,dcnt","amf","skaz,dcnt"
"Elvaan Female","Animation set 1","ROM/46/75.dat","em07","1","32","160","wee","wee",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em03","2","192","160","sl2","sl2",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em04","3","352","160","sl3","sl3",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em00","4","512","160","bow","bow",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em06","5","672","160","lau","lau",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em01","6","832","160","poi","poi",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em02","7","992","160","sl1","sl1",""
"Elvaan Female","Animation set 1","ROM/46/75.dat","em05","8","1152","160","kne","kne",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cafa","3","576","192","ms0,hwmg,nefa","ms0","hwmg,nefa"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","gur1","4","768","192","chit,sdam,vdam","","chit,sdam,vdam"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls05","5","960","240","lc05,hwso,na3,kalg,ldad","na3","lc05,hwso,kalg,ldad"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc05","6","1200","224","na0,lgin,na1","na0,na1","lgin"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls06","7","1424","240","lc06,yu2,kalg,ldad,lgot","yu2","lc06,kalg,ldad,lgot"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc06","8","1664","224","yu0,lgin,yu1","yu0,yu1","lgin"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls04","9","1888","272","lc04,hwso,na2,kalg,ldad,chlg,lgot","na2","lc04,hwso,kalg,ldad,chlg,lgot"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc04","10","2160","224","na0,lgin,na1","na0,na1","lgin"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls03","11","2384","240","lc03,gu2,kalg,ldad,lgot","gu2","lc03,kalg,ldad,lgot"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc03","12","2624","224","gu0,lgin,gu1","gu0,gu1","lgin"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc01","13","2848","240","hwso,sf0,sefl,sf1","sf0,sf1","hwso,sefl"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls01","14","3088","224","lc01,hwso,sf2,sefl","sf2","lc01,hwso,sefl"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls02","15","3312","224","lc02,hwso,sh2,sehp","sh2","lc02,hwso,sehp"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc02","16","3536","240","hwso,sh0,sehp,sh1","sh0,sh1","hwso,sehp"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","sit0","17","3776","224","si0,si1","si0,si1",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","sit1","18","4000","160","si1","si1",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","sit2","19","4160","192","si2","si2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cait","20","4352","224","hwmg,mi0,mi1","mi0,mi1","hwmg"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","canj","21","4576","192","mn0,hwmg,sei5","mn0","hwmg,sei5"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","casm","22","4768","192","ms0,hwmg,ner4","ms0","hwmg,ner4"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ssnj","23","4960","192","mn1,mn2","mn1,mn2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shnj","24","5152","192","hwmg,ner3,stnj,ssnj,wash","","hwmg,ner3,stnj,ssnj,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shsm","25","5344","192","hwmg,eis2,stsm,sssm,wash","","hwmg,eis2,stsm,sssm,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","sssm","26","5536","192","ms1,ms2","ms1,ms2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","stnd","27","5728","160","std","std",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","calg","28","5888","144","hwso","","hwso"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shlg","29","6032","160","hwso,wash","","hwso,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shit","30","6192","176","chit,hwmg,ssit,wash","","chit,hwmg,ssit,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","res2","31","6368","192","rx2","rx2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cast","32","6560","160","mb0","mb0",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cawh","33","6720","192","hwmg,mw0,ner2","mw0","hwmg,ner2"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cabk","34","6912","192","hwmg,mb0,ner1","mb0","hwmg,ner1"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","kf&h","35","7104","144","sefl,sehp","","sefl,sehp"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc00","36","7248","224","sk1,vsng","sk1","vsng"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls00","37","7472","240","lc00,sk2,ksng","sk2","lc00,ksng"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","init","38","7712","128","hwpc","","hwpc"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","@tr0","39","7840","192","wlk,idl","wlk,idl",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","@tl0","40","8032","192","wlk,idl","wlk,idl",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","gurd","41","8224","144","","",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","damg","42","8368","208","chit,sdam,vdam","","chit,sdam,vdam"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","chit","43","8576","144","se h,ef h","","se h,ef h"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","sway","44","8720","128","vswy","","vswy"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","dead","45","8848","240","ded,vded,cor","ded,cor","vded"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","pop0","46","9088","176","init","","init"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","corp","47","9264","160","cor","cor",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","res1","48","9424","160","rx1","rx1",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","res0","49","9584","224","rx0,rx1","rx0,rx1",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shwh","50","9808","192","hwmg,stwh,eis4,sswh,wash","","hwmg,stwh,eis4,sswh,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shbk","51","10000","192","hwmg,stbk,eis3,ssbk,wash","","hwmg,stbk,eis3,ssbk,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ssbk","52","10192","192","mb1,mb2","mb1,mb2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ssit","53","10384","192","mi2,mi3","mi2,mi3",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","sswh","54","10576","192","mw1,mw2","mw1,mw2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ssso","55","10768","192","mw1,mw2","mw1,mw2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lhit","56","10960","144","eflg,selg","","eflg,selg"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ldam","57","11104","208","lhit,sdam,vdam","","lhit,sdam,vdam"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shso","58","11312","176","stso,eis6,waso","","stso,eis6,waso"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","caso","59","11488","144","ner5","","ner5"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","pary","60","11632","144","","",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cabl","61","11776","192","neao,ma0,hwmg","ma0","neao,hwmg"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ssbl","62","11968","192","ma1,ma2","ma1,ma2",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shbl","63","12160","192","hwmg,stbl,shao,ssbl,wash","","hwmg,stbl,shao,ssbl,wash"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","cage","64","12352","128","","",""
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shge","65","12480","144","waso","","waso"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls10","66","12624","272","lc10,stgh,eigh,gh2","gh2","lc10,stgh,eigh"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","ls11","67","12896","272","lc11,stgc,eigc,gc2","gc2","lc11,stgc,eigc"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc10","68","13168","288","stgh,negh,gh0,gh1","gh0,gh1","stgh,negh"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","lc11","69","13456","288","stgc,negc,gc0,gc1","gc0,gc1","stgc,negc"
"Elvaan Male","Skeleton + Base Tex","ROM/37/31.dat","shfa","70","13744","192","hwmg,eifa,stfa,sssm,wash","","hwmg,eifa,stfa,sssm,wash"
"Elvaan Male","Animation set 1","ROM/41/114.dat","em02","1","32","160","sl1","sl1",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em01","2","192","160","poi","poi",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em06","3","352","160","lau","lau",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em00","4","512","160","bow","bow",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em04","5","672","160","sl3","sl3",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em03","6","832","160","sl2","sl2",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em07","7","992","160","wee","wee",""
"Elvaan Male","Animation set 1","ROM/41/114.dat","em05","8","1152","160","kne","kne",""
"Elvaan Male","Animation set 0","ROM/41/84.dat","bti0","1","32","224","at3,skaz,dada","at3","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cnb0","2","256","208","amb,skaz,dcnt","amb","skaz,dcnt"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cnf0","3","464","208","amf,skaz,dcnt","amf","skaz,dcnt"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cni0","4","672","224","at0,skaz,dcnt","at0","skaz,dcnt"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cnr0","5","896","208","amr,skaz,dcnt","amr","skaz,dcnt"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cnl0","6","1104","208","aml,skaz,dcnt","aml","skaz,dcnt"
"Elvaan Male","Animation set 0","ROM/41/84.dat","atb0","7","1312","208","amb,skaz,dada","amb","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","atf0","8","1520","208","amf,skaz,dada","amf","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","ati0","9","1728","224","at0,skaz,dada","at0","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","ati1","10","1952","224","at1,skaz,dada","at1","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","ati2","11","2176","224","at2,skaz,dada","at2","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","atr0","12","2400","208","amr,skaz,dada","amr","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","atl0","13","2608","208","aml,skaz,dada","aml","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","out0","14","2816","208","ota,sotr","ota","sotr"
"Elvaan Male","Animation set 0","ROM/41/84.dat","in 0","15","3024","208","ina,sinr","ina","sinr"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cnt0","16","3232","160","hwat,vswy","","hwat,vswy"
"Elvaan Male","Animation set 0","ROM/41/84.dat","atk0","17","3392","160","hwat,vatk","","hwat,vatk"
"Elvaan Male","Animation set 0","ROM/41/84.dat","in 1","18","3552","208","ink,sinr","ink","sinr"
"Elvaan Male","Animation set 0","ROM/41/84.dat","out1","19","3760","208","otk,sotr","otk","sotr"
"Elvaan Male","Animation set 0","ROM/41/84.dat","bti1","20","3968","224","at4,skaz,dada","at4","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","dti0","21","4192","224","wa5,skaz,dada","wa5","skaz,dada"
"Elvaan Male","Animation set 0","ROM/41/84.dat","cti0","22","4416","224","wa4,skaz,dada","wa4","skaz,dada"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","cafa","3","576","192","ms0,hwmg,nefa","ms0","hwmg,nefa"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ls11","4","768","272","lc11,stgc,eigc,gc2","gc2","lc11,stgc,eigc"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ls10","5","1040","272","lc10,stgh,eigh,gh2","gh2","lc10,stgh,eigh"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","lc11","6","1312","288","stgc,negc,gc0,gc1","gc0,gc1","stgc,negc"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","lc10","7","1600","288","stgh,negh,gh0,gh1","gh0,gh1","stgh,negh"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","shge","8","1888","144","waso","","waso"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","cage","9","2032","128","","",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ssbl","10","2160","192","ma1,ma2","ma1,ma2",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","shbl","11","2352","192","hwmg,stbl,shao,ssbl,wash","","hwmg,stbl,shao,ssbl,wash"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","cabl","12","2544","192","ma0,hwmg,neao","ma0","hwmg,neao"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","pary","13","2736","144","","",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","caso","14","2880","144","ner5","","ner5"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","shso","15","3024","176","stso,eis6,waso","","stso,eis6,waso"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ldam","16","3200","208","lhit,sdam,vdam","","lhit,sdam,vdam"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","lhit","17","3408","144","eflg,selg","","eflg,selg"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ssso","18","3552","192","mw1,mw2","mw1,mw2",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","sswh","19","3744","192","mw1,mw2","mw1,mw2",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ssit","20","3936","192","mi2,mi3","mi2,mi3",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ssbk","21","4128","192","mb1,mb2","mb1,mb2",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","shbk","22","4320","192","hwmg,stbk,eis3,ssbk,wash","","hwmg,stbk,eis3,ssbk,wash"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","shwh","23","4512","192","hwmg,stwh,eis4,sswh,wash","","hwmg,stwh,eis4,sswh,wash"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","init","24","4704","128","hwpc","","hwpc"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","@tr0","25","4832","192","wlk,idl","wlk,idl",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","@tl0","26","5024","192","wlk,idl","wlk,idl",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","gurd","27","5216","144","","",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","damg","28","5360","208","chit,sdam,vdam","","chit,sdam,vdam"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","chit","29","5568","144","se h,ef h","","se h,ef h"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","sway","30","5712","128","vswy","","vswy"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","dead","31","5840","240","ded,vded,cor","ded,cor","vded"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","pop0","32","6080","176","init","","init"
"Galka","Skeleton + Base Tex","ROM/56/59.dat","corp","33","6256","160","cor","cor",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","res1","34","6416","160","rx1","rx1",""
"Galka","Skeleton + Base Tex","ROM/56/59.dat","ls00","35","6576","240","lc00,sk2,ksng","sk2","lc00,ksng"
