"Index","Name","Category","X","Y","Z","RotX","RotY","RotZ","ScaleX","ScaleY","ScaleZ","VecX","VecY","VecZ","VecW","Flag0","Flag1"
"43","pl_slab_joc1_m","Terrain / Roads / Cliffs / Rocks","-20","24","60","NaN","NaN","NaN","4","-4","4","NaN","-0.4375","-0.044922","1003.999939","0","0"
"44","pl_s????????????","No Matching Geometry Chunk","-0.0449","-0.1875","-0.0449","NaN","-1.429202","NaN","1","1","1","0","10","100","1000","0","4294967295"
"45","????????????????","No Matching Geometry Chunk","220.0039","8","-60","0","4.712395","0","1","1","1","0","10","-0.044678","-0.004089","4294967295","4294967295"
"46","?l_slab_job1_m","No Matching Geometry Chunk","-220","32","220","0","3.141597","NaN","4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"47","pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","-0.2178","-0.1875","-0.0449","NaN","-1.429202","NaN","-4","-4","-4","NaN","10.000243","100","1000","0","0"
"48","????????????????","No Matching Geometry Chunk","-0.0449","-0.125","-0.0106","0","0","0","1","1","1","0","10","-0.044922","-0.004089","4294967295","4294967295"
"49","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","260","24","460","0","1.570798","0","1","-3.999939","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"50","pl_mob_st1_m","No Matching Geometry Chunk","180","24","460","0","4.712395","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"51","pl_mobsl????????","No Matching Geometry Chunk","-0.0298","-0.125","-0.0106","NaN","-1.429202","NaN","-1.007812","1","-1","0","10","100","1000","0","4294967295"
"52","????????????????","No Matching Geometry Chunk","221","24","420","0","1.570798","0","-1","1","1","0","10","-0.044921","-0.004089","4294967295","4294967295"
"53","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","180","24","420","0","-1.70141183460469E+38","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"54","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","-0.0586","-0.125","-0.0106","NaN","-2.858403","NaN","-4","-4","-4","0","10","100","1000","0","0"
"55","????????????????","No Matching Geometry Chunk","-0.02","-0.125","-0.0082","NaN","0","0","1","1","-1","0","10","100","1000","4294901760","4294967295"
"56","????????oo1_m","No Matching Geometry Chunk","220","24","380","0","1.570798","0","1","-3.984375","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","255"
"57","pl_roa_st1_m","Terrain / Roads / Cliffs / Rocks","220","24","-0.0131","NaN","-2.858403","NaN","-4","-4","-4","NaN","27.999998","100","1000","0","0"
"58","????????????????","No Matching Geometry Chunk","-0.0143","-0.25","-0.2187","NaN","0","0","-1","1","-1","0","10","100","1000","4294901760","4294967295"
"59","?????????o1_m","No Matching Geometry Chunk","260","24","380","0","0","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"60","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","260","24","420","NaN","-2.858403","NaN","4","-4","4","NaN","-0.4375","-0.044922","-0.004089","65535","0"
"61","pl_mob_coi??????","No Matching Geometry Chunk","-0.0106","NaN","0.2187","NaN","-0.910951","NaN","4","-4","-1.00003","0","10","100","1000","0","4278190080"
"62","????????????????","No Matching Geometry Chunk","-0.0143","-0.1875","460.0078","0","1.570798","0","1","1","-1","0","10","-0.097656","-0.004089","4294967295","4294967295"
"63","??_roasla_st1_m","No Matching Geometry Chunk","60","32","300","0","1.570798","0","-3.984375","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"64","pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","-20","-0.1875","-0.0298","NaN","-1.429202","NaN","-4","-4","-4","NaN","-0.4375","100","1000","0","0"
"65","????????????????","No Matching Geometry Chunk","0.0449","-0.25","-0.0298","NaN","3.155278","0","-1","1","1","0","10","100","1000","0","4294967295"
"66","????????????????","No Matching Geometry Chunk","-100","16","100","0","3.141597","0","-1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"67","pl_sla_coi1_m","Terrain / Roads / Cliffs / Rocks","-20","24","100","0","-1.178099","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"68","pl_mob_st1_m????","No Matching Geometry Chunk","-0.0298","-0.25","-0.0703","NaN","-1.429202","NaN","-4","-4","1.007812","0","10","100","1000","0","0"
"69","????????????????","No Matching Geometry Chunk","-0.0703","-0.25","14","0","3.141597","0","1","1","1","0","10","100","-0.003815","4294967295","4294967295"
"70","?????????_st1_m","No Matching Geometry Chunk","-100","8","60","0","3.141597","0","1","-3.984375","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","255"
"71","pl_sla_st1_m","Terrain / Roads / Cliffs / Rocks","-60","24","140","NaN","-0.910951","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1071.999878","0","0"
"72","pl??????????????","No Matching Geometry Chunk","0.0703","-0.1875","-0.0449","NaN","-1.429202","NaN","1.00003","1","1","0","10","100","1000","0","4294901760"
"73","????????????????","No Matching Geometry Chunk","0.0703","-0.5","-0.0703","0","4.712395","0","-1","1","-1","0","10","100","1000","4294967295","4294967295"
"74","???????st1_m","No Matching Geometry Chunk","-180","24","180","0","3.141597","0","1","-3.999939","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"75","pl_roa_st1_m","Terrain / Roads / Cliffs / Rocks","20","-0.125","-0.0131","NaN","-1.429202","NaN","-4","-4","-4","NaN","-0.4375","100","1000","0","0"
"76","????????????????","No Matching Geometry Chunk","0.2187","-0.5","-0.2187","NaN","-1.429202","NaN","-1.007812","1","1","0","10","100","1000","0","4278190080"
"77","????????????????","No Matching Geometry Chunk","0.0298","0.5","-100.5","0","4.712395","0","-1","1","-1","0","10","-0.044921","-0.004089","4294967295","4294967295"
"78","pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","-20","32","380","0","3.141597","0","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"79","pl_roasla_co1_m","No Matching Geometry Chunk","0.3125","-0.0937","-0.0094","NaN","NaN","NaN","-4","-4","-4","NaN","-0.4375","100.001945","1000","0","0"
"80","p???????????????","No Matching Geometry Chunk","-0.0703","-0.1094","-0.0094","NaN","-2.858403","NaN","1","1","1","0","10","100","1000","0","4294967295"
"81","????????????????","No Matching Geometry Chunk","60","40","500","0","3.141597","0","-1","1","-1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"82","pl_sla_do1_m","Terrain / Roads / Cliffs / Rocks","20","48","460","0","-2.858454","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"83","pl_mobsla_st????","No Matching Geometry Chunk","-0.0249","-0.25","0.2187","NaN","-0.910951","NaN","4","-4","-1","0","10","100","1000","0","0"
"84","????????????????","No Matching Geometry Chunk","0.0703","0.25","0.0298","NaN","1.570773","0","-1","1","1","0","10","100","1000","4294967295","4294967295"
"85","???????la_coo1_m","No Matching Geometry Chunk","-140","0","60","0","0","0","1","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","65535"
"86","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","-140","-8","0.2178","NaN","-2.858403","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1000.015564","0","0"
"87","pl_?????????????","No Matching Geometry Chunk","0.0249","NaN","0.2187","NaN","-1.429202","NaN","-1.00003","1","1","0","10","100","1000","0","4294967295"
"88","????????????????","No Matching Geometry Chunk","-141","-8","-60","0","0","0","1","1","1","0","-0.435547","-0.044922","-0.004089","4294967295","4294967295"
"89","pl_mobsla_st1_m","Terrain / Roads / Cliffs / Rocks","-100","-8","-100","0","4.712395","NaN","4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"90","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","0.0085","0.25","0.0298","NaN","-2.858403","NaN","-4","-4","-4","NaN","10.062499","100","1000","0","0"
"91","????????????????","No Matching Geometry Chunk","0.0073","0.25","0.0249","NaN","3.141597","0","1","1","1","0","10","100","1000","4294967040","4294967295"
"92","???slab_joa1_m","No Matching Geometry Chunk","-140","-16","-180","0","0","0","4","-4","4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"93","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","-60","0.1875","0.02","NaN","-0.910951","NaN","4","-4","4","NaN","10.062499","100","1000","0","0"
"94","????????????????","No Matching Geometry Chunk","0.0703","0.25","0.0249","NaN","0.714601","0","1","1","1","0","10","100","1000","0","4294967295"
"95","?????????1_m","No Matching Geometry Chunk","-180","-16","-180","0","3.141597","0","-1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"96","pl_roasla_co1_m","No Matching Geometry Chunk","-220","-8","-140","NaN","NaN","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1071.999878","0","0"
"97","pl_slab_jo??????","No Matching Geometry Chunk","0.02","NaN","0.0449","NaN","-1.429202","NaN","4","-4","1.00003","0","10","100","1000","0","4294901760"
"98","????????????????","No Matching Geometry Chunk","0.0155","-16","-140","0","4.712395","0","-1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"99","pl_roasla_st1_m","Terrain / Roads / Cliffs / Rocks","-220","-16","-180","0","3.141597","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"100","pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","-220","-24","-220","NaN","-2.858403","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","0","0"
"101","????????????????","No Matching Geometry Chunk","0.0155","0.25","0.0249","NaN","3.155278","0","-1","1","1","0","10","100","1000","4278190080","4294967295"
"102","??????????st1_m","No Matching Geometry Chunk","-260","-24","-220","0","4.712395","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"103","pl_slab_joc1_m","Terrain / Roads / Cliffs / Rocks","-260","-24","0.0159","NaN","-1.429202","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1003.999939","0","0"
"104","pl_roasla_s?????","No Matching Geometry Chunk","0.0143","0.125","0.0155","NaN","-1.429202","NaN","-4","1.00003","1","0","10","100","1000","0","4294967040"
"105","????????????????","No Matching Geometry Chunk","0.0155","0.1094","-380","0","1.570798","0","1","1","1","0","10","-0.044678","-0.004089","4294967295","4294967295"
"106","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","-260","-40","-300","0","3.141597","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"107","pl_mob_st1_m","No Matching Geometry Chunk","0.02","0.1094","0.0143","NaN","-1.429202","NaN","-4","-4","1","0","10","100","1000","0","0"
"108","????????????????","No Matching Geometry Chunk","0.0143","0.0937","-194","0","1.570798","0","1","1","1","0","10","-0.044678","-0.004089","4294967295","4294967295"
"109","?l_mobsla_st1_m","No Matching Geometry Chunk","-340","-40","-380","0","3.141597","0","-1","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"110","pl_mob_st1_m","No Matching Geometry Chunk","-260","0.1094","0.0131","NaN","-0.910951","NaN","4","-4","4","NaN","-0.4375","100.499992","1000","0","0"
"111","pl??????????????","No Matching Geometry Chunk","0.0118","0.1094","0.0118","NaN","-1.429202","NaN","1.00003","1","1","0","10","100","1000","0","4294967295"
"112","????????????????","No Matching Geometry Chunk","300.0078","24","420","0","0","0","1","1","1","-1.70141183460469E+38","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"113","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","340","32","580","0","-0.913268","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"114","pl_sla_do1_m ???","No Matching Geometry Chunk","-0.0131","-0.1875","-0.0703","NaN","-2.858403","NaN","-4","-4","-4","0","10","100","1000","0","4278190080"
"115","????????????????","No Matching Geometry Chunk","0.2187","-0.0781","502","0","3.141597","0","-1","1","1","0","10","100","1000","4294967040","4294967295"
"116","????????a_st1_m","No Matching Geometry Chunk","-100","56","500","0","3.141597","0","1","-3.999939","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","16777215"
"117","pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","-100","56","-0.0021","NaN","NaN","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1003.999939","0","0"
"118","pl_s????????????","No Matching Geometry Chunk","0.0703","-0.0781","-0.0082","NaN","-1.429202","NaN","1.007812","1","1","0","10","100","1000","0","4294967295"
"119","????????????????","No Matching Geometry Chunk","-46","72","580","0","3.141597","0","-1","1","1","0","-0.15625","-0.044922","-0.004089","4294967295","4294967295"
"120","?l_roa_st1_m","No Matching Geometry Chunk","-180","64","580","0","0","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"121","pl_slab_job1_m","Terrain / Roads / Cliffs / Rocks","-140","-0.0586","-0.0073","NaN","-1.429202","NaN","-4","-4","-4","NaN","27.999998","100","1000","0","0"
"122","????????????????","No Matching Geometry Chunk","0.0249","-0.0586","-0.007","NaN","3.141545","0","1","1","1","0","10","100","1000","0","4294967295"
"123","????????????????","No Matching Geometry Chunk","0.02","72","620","0","3.141597","0","-1","1","1","0","10","-0.044922","-0.004089","4294967295","4294967295"
"124","pl_flb_1_m","Terrain / Roads / Cliffs / Rocks","-220","72","660","0","4.712395","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"125","pl_roa_co1_m ???","No Matching Geometry Chunk","-0.0118","-0.25","-0.0298","NaN","-0.910951","NaN","-4","-4","-4","0","10","100","1000","0","0"
"126","????????????????","No Matching Geometry Chunk","-0.0106","-0.25","-0.0298","NaN","1.577639","0","1","1","1","0","10","100","1000","0","4294967295"
"127","????????????????","No Matching Geometry Chunk","422","24","220","0","4.712395","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"128","pl_roasla_st1_m","Terrain / Roads / Cliffs / Rocks","420","24","180","0","-0.785399","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"129","pl_roa_co1_?????","No Matching Geometry Chunk","-0.0094","-0.1875","-0.02","NaN","-2.858403","NaN","-4","-4","-4","0","10","100","1000","0","0"
"130","????????????????","No Matching Geometry Chunk","0.0106","0.125","0.0143","NaN","4.712395","0","-1","1","1","0","10","100","1000","4294901760","4294967295"
"131","????????oi2_m","No Matching Geometry Chunk","-420","-40","-340","0","1.570798","0","1","-3.984375","4","NaN","-0.4375","-0.044922","-0.004089","4294967295","255"
"132","pl_mobsla_coo1_m","Terrain / Roads / Cliffs / Rocks","-380","-40","0.0131","NaN","-2.858403","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","1071.999878","0","0"
"133","pl_r????????????","No Matching Geometry Chunk","0.0118","NaN","0.0449","NaN","NaN","NaN","1","1","1","0","10","100","1000","0","4294901760"
"134","????????????????","No Matching Geometry Chunk","0.0106","NaN","-140.0039","0","1.570798","0","1","1","1","0","10","-0.044922","-0.004089","4294967295","4294967294"
"135","pl_slb_st1_m","Terrain / Roads / Cliffs / Rocks","-420","0","-180","0","3.141597","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"136","pl_slab_joc1_m","Terrain / Roads / Cliffs / Rocks","0.0118","NaN","0.0249","NaN","-1.429202","NaN","4","-4","-4","NaN","10.000243","100","1000","0","0"
"137","????????????????","No Matching Geometry Chunk","0.0118","NaN","0.0298","NaN","3.141545","0","1","1","1","0","10","100","1000","4278190080","4294967295"
"138","??????????1_m","No Matching Geometry Chunk","380","0","-100","0","4.712395","0","1","1","-3.984375","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"139","pl_mob_st1_m","No Matching Geometry Chunk","380","0","-20","NaN","NaN","NaN","4","-4","4","NaN","-0.4375","-0.044922","-0.004089","0","0"
"140","pl_roasla_s?????","No Matching Geometry Chunk","0.0106","NaN","0.0449","NaN","-0.910951","NaN","4","-4","-1.007812","0","10","100","1000","0","4294967040"
"141","????????????????","No Matching Geometry Chunk","-0.0131","NaN","-20","0","3.141597","0","1","1","1","0","10","-0.044921","-0.004089","4294967295","4294967295"
"142","pl_roa_co1_m","Terrain / Roads / Cliffs / Rocks","100","24","300","0","-6.283193","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"143","pl_roa_co1_m????","No Matching Geometry Chunk","-0.0449","-0.125","-0.0118","NaN","-0.910951","NaN","-4","-4","1.007812","0","10","100","1000","0","0"
"144","????????????????","No Matching Geometry Chunk","-0.0703","-0.1875","488","0","0","0","1","1","1","0","10","100","-0.003815","4294967295","4294967295"
"145","?l_mob_coo1_m","No Matching Geometry Chunk","-180","24","220","0","1.570798","0","1","-3.984375","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","255"
"146","pl_mob_coo1_m","Terrain / Roads / Cliffs / Rocks","300","NaN","0.0703","NaN","-0.910951","NaN","4","-4","4","NaN","27.999998","100","1000","0","0"
"147","pl??????????????","No Matching Geometry Chunk","0.0076","0.25","0.0249","NaN","-1.429202","NaN","-1.00003","1","1","0","10","100","1000","0","4294967295"
"148","????????????m","No Matching Geometry Chunk","-500","-24","-260","0","4.712395","0","-1","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"149","pl_mobsla_st1_m","Terrain / Roads / Cliffs / Rocks","-500","-16","-220","NaN","-0.910951","NaN","4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"150","pl_mobsla_coo1_m","Terrain / Roads / Cliffs / Rocks","-420","0.125","0.0155","NaN","NaN","NaN","4","-4","-4","NaN","-0.4375","100","1000","0","0"
"151","????????????????","No Matching Geometry Chunk","0.0449","0.1875","-221","0","3.141597","0","1","1","1","0","10","-0.097656","-0.004089","4294967295","4294967295"
"152","??_mobsla_coo1_m","No Matching Geometry Chunk","-140","-32","-220","0","0","0","1","-3.999939","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"153","pl_mob_st1_m","No Matching Geometry Chunk","0.0085","0.125","0.0155","NaN","-2.858403","NaN","-4","-4","-4","NaN","10.062499","100","1000","0","0"
"154","pl_?????????????","No Matching Geometry Chunk","-0.0143","-0.125","-0.0082","NaN","-0.910951","0","-1","1","1","0","10","100","1000","0","4294967295"
"155","????????????????","No Matching Geometry Chunk","340","32","540","0","0","0","1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"156","pl_mob_coi1_m","Terrain / Roads / Cliffs / Rocks","300","32","540","NaN","-0.910951","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","255","0"
"157","pl_mob_co???????","No Matching Geometry Chunk","-0.0449","-0.1094","-0.0082","NaN","-1.429202","NaN","-1","1","1","0","10","100","1000","0","4294967295"
"158","????????????????","No Matching Geometry Chunk","488","32","460","0","3.141597","0","-1","1","1","NaN","-0.4375","-0.044922","-0.004089","4294967295","4294967295"
"159","pl_mobsla_st1_m","Terrain / Roads / Cliffs / Rocks","100","40","460","0","4.712395","NaN","4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"160","pl_mob_coi1_????","No Matching Geometry Chunk","-0.0249","-0.125","-0.0073","NaN","NaN","NaN","4","-4","-4","0","10","100","1000","0","0"
"161","????????????????","No Matching Geometry Chunk","-0.0703","-0.0781","-0.0073","NaN","0","0","1","1","1","0","10","100","1000","4278190080","4294967295"
"162","?????????_st1_m","No Matching Geometry Chunk","100","48","540","0","1.570798","0","1","-4","-4","NaN","-0.4375","-0.044922","-0.004089","4294967295","65535"
"163","pl_roasla_st1_m","Terrain / Roads / Cliffs / Rocks","-340","-8","0.0297","NaN","-2.858403","NaN","-4","-4","-4","NaN","-0.4375","-0.044922","-0.004089","0","0"
"164","pl_sl???????????","No Matching Geometry Chunk","0.0131","NaN","0.0449","NaN","-2.858403","NaN","-4","1","1","0","10","100","1000","0","4294967295"
"165","????????????????","No Matching Geometry Chunk","-462","0","-140","0","0","0","1","1","-1","0","10","-0.044921","-0.004089","4294967295","4294967295"
"166","pl_slab_joa1_m","Terrain / Roads / Cliffs / Rocks","-420","8","-60","0","0","NaN","4","-4","4","NaN","-0.4375","-0.044922","-0.004089","4294967295","0"
"167","pl_roasla_st1_m","Terrain / Roads / Cliffs / Rocks","0.0281","-0.5","0.0703","NaN","-1.429202","NaN","-4","-4","-4","NaN","10.062499","100","1000","0","0"
